City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,chibougamau,49.9168,-74.3659,262.94,85,100,5.66,CA,1703056566
358,karaton,-6.3424,106.1045,306.66,39,100,4.34,ID,1703056567
359,praia,14.9215,-23.5087,296.45,68,100,9.26,CV,1703056568
360,palangkaraya,-2.2,113.8333,301.83,76,100,0.94,ID,1703056569
361,tan-tan,28.438,-11.1032,284.12,93,0,1.54,MA,1703056572
362,namibe,-15.1961,12.1522,296.55,73,68,0.79,AO,1703056574
363,waterloo,43.4668,-80.5164,271.92,86,100,4.63,CA,1703055982
364,daru,-9.0763,143.2092,298.75,89,100,2.27,PG,1703056576
365,sarkand,45.41,79.9186,273.76,95,100,0.92,KZ,1703056577
366,kenai,60.5544,-151.2583,259.18,100,100,2.06,US,1703056578
367,eastham,41.8301,-69.9739,277.01,78,0,3.6,US,1703056579
368,mtsamboro,-12.6998,45.0689,301.77,71,100,1.94,YT,1703056581
369,baise city,23.8997,106.6133,288.9,99,48,2.04,CN,1703056368
370,sinabang,2.4803,96.3801,301.92,73,98,0.43,ID,1703056583
371,gorontalo,0.5412,123.0595,301.89,86,100,0.55,ID,1703056584
372,yuzhno-kurilsk,44.0306,145.8556,270.58,76,85,4.61,RU,1703056585
373,singkil,-7.9855,111.4161,304.2,50,25,4.11,ID,1703056586
374,belyy yar,53.6039,91.3903,249.09,84,100,1.0,RU,1703056587
375,kruisfontein,-34.0033,24.7314,297.53,52,0,4.1,ZA,1703056588
376,mombetsu,44.3525,143.3525,270.16,50,20,4.12,JP,1703056589
377,lauderdale-by-the-sea,26.192,-80.0964,294.17,69,100,7.72,US,1703056590
378,bereznik,62.8551,42.7072,272.03,86,96,5.47,RU,1703056591
379,wenchang,30.904,118.4887,276.42,37,0,3.08,CN,1703056592
380,waingapu,-9.6567,120.2641,303.28,65,100,3.17,ID,1703056593
381,mejit,10.2753,170.8646,300.22,79,100,10.23,MH,1703056594
